original_path,medium_id,original_url,new_dir,date,title
/2016/03/09/jupyter-kernel-gateway,,https://blog.jupyter.org/2016/03/09/jupyter-kernel-gateway,2016-03-09-jupyter-kernel-gateway,2016-03-09,Jupyter Kernel Gateway
/2016/04/15/notebook-4-2,,https://blog.jupyter.org/2016/04/15/notebook-4-2,2016-04-15-notebook-4-2,2016-04-15,Notebook 4.2
/2016/04/15/notebook-4-2,,https://blog.jupyter.org/2016/04/15/notebook-4-2,2016-04-15-notebook-4-2,2016-04-15,Notebook 4.2
/ipywidgets-5-0-895e98da83a,895e98da83a,https://blog.jupyter.org/ipywidgets-5-0-895e98da83a,2016-04-23-ipywidgets-5-0,2016-04-23,ipywidgets 5.0
/2016/04/22/ipywidgets5,895e98da83a,https://blog.jupyter.org/2016/04/22/ipywidgets5,2016-04-23-ipywidgets-5-0,2016-04-23,ipywidgets 5.0
/release-of-ipython-5-0-8ce60b8d2e8e,8ce60b8d2e8e,https://blog.jupyter.org/release-of-ipython-5-0-8ce60b8d2e8e,2016-07-08-release-of-ipython-5-0,2016-07-08,Release of IPython 5.0
/2016/07/08/ipython-5-0-released,8ce60b8d2e8e,https://blog.jupyter.org/2016/07/08/ipython-5-0-released,2016-07-08-release-of-ipython-5-0,2016-07-08,Release of IPython 5.0
/jupyterlab-the-next-generation-of-the-jupyter-notebook-5c949dabea3,5c949dabea3,https://blog.jupyter.org/jupyterlab-the-next-generation-of-the-jupyter-notebook-5c949dabea3,2016-07-15-jupyterlab-the-next-generation-of-the-jupyter-notebook,2016-07-15,JupyterLab: the next generation of the Jupyter Notebook
/2016/07/14/jupyter-lab-alpha,5c949dabea3,https://blog.jupyter.org/2016/07/14/jupyter-lab-alpha,2016-07-15-jupyterlab-the-next-generation-of-the-jupyter-notebook,2016-07-15,JupyterLab: the next generation of the Jupyter Notebook
/jupyterday-atlanta-2016-69d78bbdd7af,69d78bbdd7af,https://blog.jupyter.org/jupyterday-atlanta-2016-69d78bbdd7af,2016-07-28-jupyterday-atlanta-2016,2016-07-28,JupyterDay Atlanta 2016
/2016/07/28/jupyterday-atlanta,69d78bbdd7af,https://blog.jupyter.org/2016/07/28/jupyterday-atlanta,2016-07-28-jupyterday-atlanta-2016,2016-07-28,JupyterDay Atlanta 2016
/2016/08/03/security-fix-notebook-4-2-2,,https://blog.jupyter.org/2016/08/03/security-fix-notebook-4-2-2,2016-08-03-security-fix-notebook-4-2-2,2016-08-03,Notebook 4.2.2: Security fix
/2016/08/03/security-fix-notebook-4-2-2,,https://blog.jupyter.org/2016/08/03/security-fix-notebook-4-2-2,2016-08-03-security-fix-notebook-4-2-2,2016-08-03,Notebook 4.2.2: Security fix
/jupyterday-hawaii-2016-da8569d52e12,da8569d52e12,https://blog.jupyter.org/jupyterday-hawaii-2016-da8569d52e12,2016-09-26-jupyterday-hawaii-2016,2016-09-26,JupyterDay Hawaii 2016
/2016/09/26/jupyterday-hawaii-2016,da8569d52e12,https://blog.jupyter.org/2016/09/26/jupyterday-hawaii-2016,2016-09-26-jupyterday-hawaii-2016,2016-09-26,JupyterDay Hawaii 2016
