bytes	frames	size	duration_ms	short_frames	loop	transparent_first	transparent_any	duplicate	sha256_12	path
1119352	235	679x410	23500	0	0	False	False	0	a0c15b45abd4	archive/raw/87d659583490/images/001-1_mp59BtUkz046smQek2-BFA.gif
1101938	269	1200x674	19140	0	0	False	False	0	abe3e47aee7c	archive/raw/f8151c2cc6e8/images/004-1_fK9jSMoHgqBpnKN5aLXlIg.gif
1081368	132	1019x674	32870	0	0	False	False	0	13ee7f63834a	archive/raw/3648c306b91a/images/014-1_5qQDXByT8dHSHMs86geeiQ.gif
1076146	144	1254x729	33790	0	0	False	False	0	64d9cbd271b0	archive/raw/3648c306b91a/images/012-1_Dkhv6nZt2vExa-UjMTkaRA.gif
1051801	159	1250x750	15900	0	0	False	False	0	419625b0da14	archive/raw/9d17bcfacb4/images/003-1_cmnPUKlhHHwUf8PZhNQx2g.gif
1044243	235	679x410	23500	0	0	False	False	0	fd30a24e8bb9	archive/raw/435f67d10b4f/images/004-1_Pg6UNndYe0TIfRIeXy3RvA.gif
963376	152	800x287	31600	0	0	False	False	0	306dc67a14e0	archive/raw/388d05e03442/images/003-1_DL6GE3nEYT9SGn7oDGnydQ.gif
920080	78	803x599	7080	1	0	False	False	0	0fb4d6b36bb8	archive/raw/fe9b54227d92/images/011-1_Mx2g3JuTG1Cfvkkv0kqtLA.gif
910058	166	2000x1200	13830	0	0	False	False	0	d295c01045b7	archive/raw/edb3f80dc1c0/images/003-1_wTGFO6IDHQ0YSYjso-XUtA.gif
906277	188	800x430	12540	0	0	False	False	0	604b82baaec5	archive/raw/6eb498a22178/images/001-1_pZAalrX9FpY6Bbv0aSJAWg.gif
899577	356	1434x876	8910	0	0	False	False	0	701a1497abe0	archive/raw/cda20dc15a21/images/004-1_63aIvo4SQdeqUbVppf_WUA.gif
893024	258	1280x720	8510	0	0	False	False	0	91ab7b994f57	archive/raw/db4859f86762/images/001-1_oKl3bDSanz-SFqsgWsAPBw.gif
884610	59	800x326	7000	0	0	False	False	0	822efd8f7632	archive/raw/c57a5bb518d6/images/001-1_fxJcZt6CBqZodRKm-k9vBA.gif
883146	205	880x532	45200	0	0	False	False	0	6f03ce7c5090	archive/raw/99c56ae56c47/images/001-1_apqtMnPMoBql8XXbIQOpYA.gif
878357	219	1200x675	14590	0	0	False	False	0	42f8426d2db8	archive/raw/404cce3e1df6/images/002-1_zSExeL4Doygxl-o3lnStuQ.gif
860216	167	2000x1200	13910	0	0	False	False	0	770de0fb4b54	archive/raw/edb3f80dc1c0/images/004-1_qFCSqPLAJptGXf4fCC7F0g.gif
848844	169	1918x968	16900	0	0	False	False	0	534dd9ad1410	archive/raw/789fcb1a5857/images/001-1_m3zuJtMenNyGL-0R2nz7Cg.gif
842465	245	1394x933	24500	0	0	False	False	0	052868db30b0	archive/raw/713b5630e457/images/006-1_EFxI8mzCwYwnK9DB_xGxTQ.gif
837672	64	1665x912	14730	0	0	False	False	0	10f3c7523729	archive/raw/bfd06797f188/images/005-1_7psFVJ14ekqdgi7n3ZwS-Q.gif
821378	72	1000x600	25300	1	0	False	False	0	ec8f69a0e2cb	archive/raw/9549c5dcf551/images/003-1_BIDimBvS_g8QH5fuHS_QRQ.gif
812569	35	300x298	2100	0	0	False	False	0	fd4786ee47de	archive/raw/999534c77a09/images/009-fWgAW7WZtPMBjmpa3V-giphy.gif
811666	290	931x512	29000	0	0	False	False	0	377cae928efa	archive/raw/8a431c2b353e/images/001-1_Pl6z5oPeFixFjxMEYzEpIA.gif
765182	150	2000x1200	12500	0	0	False	False	0	90e695a1ebf9	archive/raw/edb3f80dc1c0/images/006-1_LbyGHamQs-_pNmk2vmDdfQ.gif
735843	510	1600x900	17010	0	0	False	False	0	eba3f58a550b	archive/raw/8096b8b223d0/images/006-1_Kdj9uNSXmZVOzDVM_qKjxQ.gif
723308	95	1000x600	16140	0	0	False	False	0	d6350054b054	archive/raw/261a65bd56fe/images/001-1_b_2s5wfIzrqGapkhBytHSg.gif
713532	464	1200x800	15460	0	0	False	False	0	7a54652edc2c	archive/raw/f6e2e41ab3fa/images/012-1_69CnccBrufVEEU0wqE_f7Q.gif
703625	108	1504x906	10800	0	0	False	False	0	42314b372099	archive/raw/6084f96db263/images/001-1_iGMClCbnpOvUlZ5xoiAASA.gif
701810	89	1836x970	8900	0	0	False	False	0	fa6527c15a39	archive/raw/2e432df402c8/images/011-0_tHhXDPzcThHTqor5.gif
701104	586	1200x800	19530	0	0	False	False	0	561cdf54b35f	archive/raw/4f58385e25bb/images/002-1_bSH9IcyWHLaNML2q9lRThg.gif
700207	1807	1500x965	60230	0	0	False	False	0	a842448d0faf	archive/raw/914e61716559/images/002-1_NP0bYBdrhwgpJpKDhPLWrQ.gif
689862	52	999x600	10400	0	0	False	False	0	e339ee55c2b3	archive/raw/52f9657fa7a/images/009-1_6tCnE8oedSXuEtiGKA1fAA.gif
686674	140	1394x933	14000	0	0	False	False	0	3db163b277d4	archive/raw/713b5630e457/images/003-1_Z-aWN6goZH_1YcabAYj2fQ.gif
685535	114	960x415	8670	0	0	False	False	0	588f3a7e8b49	archive/raw/da0ad084966e/images/011-1_7gY1tFtpCC_4oi5SN8lAEA.gif
676916	76	1795x996	8050	0	0	False	False	0	097fdcda3b4b	archive/raw/8eb9e8f81f0/images/004-1_I_XVE0J8vjYne5wnsZ9WuA.gif
676889	876	1198x798	29210	0	0	False	False	0	975be74fd3d5	archive/raw/914e61716559/images/007-0_EtApkSznZEY-GJhA.gif
675672	101	800x323	7330	0	0	False	False	0	2a8266de44a0	archive/raw/da0ad084966e/images/010-1_62m9scX8q8zpeMppdsV5hg.gif
650072	152	1394x933	15200	0	0	False	False	0	f0e9e9871c69	archive/raw/713b5630e457/images/005-1_nyXQAQivNvV23xvS_1KCYQ.gif
625836	790	1316x1266	19760	0	0	False	False	0	e8339c0b98a9	archive/raw/cda20dc15a21/images/011-1_ZkV-0GDc_0Kxdbc6CHzB0w.gif
623726	531	1299x674	53100	0	0	False	False	0	a3cc3ccae86a	archive/raw/99c56ae56c47/images/003-1_iDhidg4ebeIL2a6pYJOOvw.gif
609228	241	1000x600	28990	0	0	False	False	0	e00fa4c12795	archive/raw/11e5dab7c54/images/001-1_gCej3VJVI_8k27KR33wDLw.gif
606215	174	780x524	20680	1	0	False	False	0	52d14893c380	archive/raw/ae191bc6fb8e/images/005-1_GDwfwdQyqprIcHbXCCkDhA.gif
589728	114	1250x750	11400	0	0	False	False	0	ef6387dcfda7	archive/raw/9d17bcfacb4/images/002-1_PTiGVyDsazc_ziz6Bk4EnA.gif
579339	375	1600x900	12510	0	0	False	False	0	3ca24dc4a480	archive/raw/8096b8b223d0/images/008-1_RlEcR2gqeFdzM-0Vbrrm1g.gif
541154	172	1280x720	26500	0	0	False	False	0	b7e9d9347213	archive/raw/18eb5c83dc1b/images/003-0_J_A7MbZ2JI5hZh7n.gif
529678	607	912x665	30350	0	0	False	False	0	1e5bfc791221	archive/raw/805e48918801/images/005-1_FTlpril_YV5W6-xYelNrtA.gif
524285	845	1198x798	28160	0	0	False	False	0	d7a757420832	archive/raw/914e61716559/images/004-0_gsIleEb7Q-sq05f0.gif
496807	190	1600x900	6330	0	0	False	False	0	01a579b84a9d	archive/raw/8096b8b223d0/images/007-1_7k57aBOevLbtRDvCBWEWkw.gif
492424	651	1198x798	21710	0	0	False	False	0	0888f2b8fbc7	archive/raw/914e61716559/images/008-0_9pVDg58cTz5Yezw8.gif
486087	695	1600x900	23160	0	0	False	False	0	e77ce4a5aa4a	archive/raw/8096b8b223d0/images/004-1_KejsZJ1Vq82_ncEGjN6zdA.gif
473801	87	1000x600	17400	0	0	False	False	0	a276a07583a3	archive/raw/52f9657fa7a/images/012-1_0SvmdK7ykkDXZ4oU-x6QzA.gif
462621	738	1198x798	24610	0	0	False	False	0	3b6d7a64561c	archive/raw/914e61716559/images/006-0_ZejsDIpKOEPDgoTs.gif
452406	267	1007x888	26700	0	0	False	False	0	aed8a637ec9e	archive/raw/c64e75468fe6/images/001-1_kPeW6sSz3obRCxM50U6QAA.gif
401377	104	1500x900	10400	0	0	False	False	0	b3bf29c20de4	archive/raw/f6a2c08a4a93/images/009-1_HtXNf1rq26u9ss8L-Oo6VQ.gif
397037	198	1122x910	19800	0	0	False	False	0	64f47e8e82b1	archive/raw/c64e75468fe6/images/004-1_U3_wuju-3UVQRWRxHo2Gmw.gif
381658	622	1099x677	62200	0	0	False	False	0	146134ac6e81	archive/raw/1b850fcd8624/images/007-1_0n1kaev7c81I45SZ0HoLxQ.gif
360344	51	964x506	15010	0	0	False	False	0	b2aa54f52b42	archive/raw/fe9b54227d92/images/004-1_NnjISpzZtpy5TOurg0S89A.gif
358437	1155	1126x1416	28870	0	0	False	False	0	7f25afe4f7d0	archive/raw/cda20dc15a21/images/014-1_8f05EGZrQyBxZr-Byn_vxg.gif
349477	54	776x526	15050	0	0	False	False	0	f78569292dc1	archive/raw/37d6ae621f83/images/g005-4-1-snr.gif
348803	285	1200x800	9510	0	0	False	False	0	d34eca207a35	archive/raw/4f58385e25bb/images/004-1_ZLDBAmTHYyGVp3RNQN09KQ.gif
343713	236	2072x816	23600	0	0	False	False	0	f9cc36fb8732	archive/raw/8d6d66126dcf/images/003-0_aiZac10EROHCzjDH.gif
